location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_fullnames
Idaho,ID,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,9,16,22,29,46,9,16,22,29,46,CEPH Lab at Indiana University,Rtrend COVID
Idaho,ID,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,6,14,22,33,66,6,14,22,33,66,CEPH Lab at Indiana University,Rtrend COVID
Idaho,ID,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,4,13,22,38,88,4,13,22,38,88,CEPH Lab at Indiana University,Rtrend COVID
Idaho,ID,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,3,11,22,41,111,3,11,22,41,111,CEPH Lab at Indiana University,Rtrend COVID
Illinois,IL,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,129,201,256,322,484,129,201,256,322,484,CEPH Lab at Indiana University,Rtrend COVID
Illinois,IL,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,113,214,301,420,748,113,214,301,420,748,CEPH Lab at Indiana University,Rtrend COVID
Illinois,IL,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,96,222,349,531,1089,96,222,349,531,1089,CEPH Lab at Indiana University,Rtrend COVID
Illinois,IL,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,84,230,392,650,1463,84,230,392,650,1463,CEPH Lab at Indiana University,Rtrend COVID
Indiana,IN,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,117,175,217,268,387,117,175,217,268,387,CEPH Lab at Indiana University,Rtrend COVID
Indiana,IN,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,106,190,261,352,588,106,190,261,352,588,CEPH Lab at Indiana University,Rtrend COVID
Indiana,IN,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,97,203,304,443,833,97,203,304,443,833,CEPH Lab at Indiana University,Rtrend COVID
Indiana,IN,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,87,214,345,534,1086,87,214,345,534,1086,CEPH Lab at Indiana University,Rtrend COVID
Iowa,IA,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,19,32,42,55,88,19,32,42,55,88,CEPH Lab at Indiana University,Rtrend COVID
Iowa,IA,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,13,27,41,60,118,13,27,41,60,118,CEPH Lab at Indiana University,Rtrend COVID
Iowa,IA,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,8,23,39,65,157,8,23,39,65,157,CEPH Lab at Indiana University,Rtrend COVID
Iowa,IA,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,5,19,38,70,200,5,19,38,70,200,CEPH Lab at Indiana University,Rtrend COVID
Kansas,KS,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,14,28,41,59,108,14,28,41,59,108,CEPH Lab at Indiana University,Rtrend COVID
Kansas,KS,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,9,25,44,73,167,9,25,44,73,167,CEPH Lab at Indiana University,Rtrend COVID
Kansas,KS,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,6,23,45,86,237,6,23,45,86,237,CEPH Lab at Indiana University,Rtrend COVID
Kansas,KS,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,4,20,46,97,293,4,20,46,97,293,CEPH Lab at Indiana University,Rtrend COVID
Kentucky,KY,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,83,112,133,156,206,83,112,133,156,206,CEPH Lab at Indiana University,Rtrend COVID
Kentucky,KY,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,74,115,146,184,271,74,115,146,184,271,CEPH Lab at Indiana University,Rtrend COVID
Kentucky,KY,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,66,116,155,208,336,66,116,155,208,336,CEPH Lab at Indiana University,Rtrend COVID
Kentucky,KY,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,58,113,161,225,385,58,113,161,225,385,CEPH Lab at Indiana University,Rtrend COVID
Louisiana,LA,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,44,64,79,97,136,44,64,79,97,136,CEPH Lab at Indiana University,Rtrend COVID
Louisiana,LA,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,35,60,81,108,178,35,60,81,108,178,CEPH Lab at Indiana University,Rtrend COVID
Louisiana,LA,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,27,56,82,119,221,27,56,82,119,221,CEPH Lab at Indiana University,Rtrend COVID
Louisiana,LA,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,21,51,82,128,265,21,51,82,128,265,CEPH Lab at Indiana University,Rtrend COVID
Maine,ME,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,18,26,31,38,53,18,26,31,38,53,CEPH Lab at Indiana University,Rtrend COVID
Maine,ME,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,15,26,34,45,71,15,26,34,45,71,CEPH Lab at Indiana University,Rtrend COVID
Maine,ME,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,13,25,36,51,92,13,25,36,51,92,CEPH Lab at Indiana University,Rtrend COVID
Maine,ME,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,11,24,38,57,110,11,24,38,57,110,CEPH Lab at Indiana University,Rtrend COVID
Maryland,MD,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,66,94,115,140,194,66,94,115,140,194,CEPH Lab at Indiana University,Rtrend COVID
Maryland,MD,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,59,100,133,175,275,59,100,133,175,275,CEPH Lab at Indiana University,Rtrend COVID
Maryland,MD,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,54,103,149,210,369,54,103,149,210,369,CEPH Lab at Indiana University,Rtrend COVID
Maryland,MD,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,47,106,163,242,459,47,106,163,242,459,CEPH Lab at Indiana University,Rtrend COVID
Massachusetts,MA,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,84,140,183,237,372,84,140,183,237,372,CEPH Lab at Indiana University,Rtrend COVID
Massachusetts,MA,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,69,143,209,301,555,69,143,209,301,555,CEPH Lab at Indiana University,Rtrend COVID
Massachusetts,MA,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,56,142,230,361,737,56,142,230,361,737,CEPH Lab at Indiana University,Rtrend COVID
Massachusetts,MA,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,45,138,244,408,861,45,138,244,408,861,CEPH Lab at Indiana University,Rtrend COVID
Michigan,MI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,360,528,649,795,1107,360,528,649,795,1107,CEPH Lab at Indiana University,Rtrend COVID
Michigan,MI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,345,587,779,1019,1574,345,587,779,1019,1574,CEPH Lab at Indiana University,Rtrend COVID
Michigan,MI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,322,618,866,1179,1907,322,618,866,1179,1907,CEPH Lab at Indiana University,Rtrend COVID
Michigan,MI,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,288,612,883,1216,1913,288,612,883,1216,1913,CEPH Lab at Indiana University,Rtrend COVID
Minnesota,MN,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,164,210,240,275,346,164,210,240,275,346,CEPH Lab at Indiana University,Rtrend COVID
Minnesota,MN,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,146,208,251,305,418,146,208,251,305,418,CEPH Lab at Indiana University,Rtrend COVID
Minnesota,MN,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,128,201,256,325,483,128,201,256,325,483,CEPH Lab at Indiana University,Rtrend COVID
Minnesota,MN,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,109,190,253,335,527,109,190,253,335,527,CEPH Lab at Indiana University,Rtrend COVID
Mississippi,MS,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,26,39,48,59,84,26,39,48,59,84,CEPH Lab at Indiana University,Rtrend COVID
Mississippi,MS,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,25,43,59,79,129,25,43,59,79,129,CEPH Lab at Indiana University,Rtrend COVID
Mississippi,MS,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,23,47,69,100,185,23,47,69,100,185,CEPH Lab at Indiana University,Rtrend COVID
Mississippi,MS,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,21,50,80,122,240,21,50,80,122,240,CEPH Lab at Indiana University,Rtrend COVID
Missouri,MO,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,100,143,176,213,297,100,143,176,213,297,CEPH Lab at Indiana University,Rtrend COVID
Missouri,MO,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,98,165,218,287,452,98,165,218,287,452,CEPH Lab at Indiana University,Rtrend COVID
Missouri,MO,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,94,184,262,370,642,94,184,262,370,642,CEPH Lab at Indiana University,Rtrend COVID
Missouri,MO,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,90,200,302,446,811,90,200,302,446,811,CEPH Lab at Indiana University,Rtrend COVID
Montana,MT,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,10,16,21,28,45,10,16,21,28,45,CEPH Lab at Indiana University,Rtrend COVID
Montana,MT,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,7,15,22,32,62,7,15,22,32,62,CEPH Lab at Indiana University,Rtrend COVID
Montana,MT,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,5,13,22,36,84,5,13,22,36,84,CEPH Lab at Indiana University,Rtrend COVID
Montana,MT,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,3,11,22,40,109,3,11,22,40,109,CEPH Lab at Indiana University,Rtrend COVID
Nebraska,NE,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,11,22,31,43,75,11,22,31,43,75,CEPH Lab at Indiana University,Rtrend COVID
Nebraska,NE,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,7,19,32,52,113,7,19,32,52,113,CEPH Lab at Indiana University,Rtrend COVID
Nebraska,NE,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,5,17,33,60,159,5,17,33,60,159,CEPH Lab at Indiana University,Rtrend COVID
Nebraska,NE,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,3,15,33,68,203,3,15,33,68,203,CEPH Lab at Indiana University,Rtrend COVID
Nevada,NV,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,22,36,46,59,91,22,36,46,59,91,CEPH Lab at Indiana University,Rtrend COVID
Nevada,NV,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,16,31,45,64,116,16,31,45,64,116,CEPH Lab at Indiana University,Rtrend COVID
Nevada,NV,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,11,27,43,68,139,11,27,43,68,139,CEPH Lab at Indiana University,Rtrend COVID
Nevada,NV,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,8,23,40,68,155,8,23,40,68,155,CEPH Lab at Indiana University,Rtrend COVID
New Hampshire,NH,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,28,39,48,58,79,28,39,48,58,79,CEPH Lab at Indiana University,Rtrend COVID
New Hampshire,NH,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,22,37,49,64,101,22,37,49,64,101,CEPH Lab at Indiana University,Rtrend COVID
New Hampshire,NH,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,18,35,49,69,122,18,35,49,69,122,CEPH Lab at Indiana University,Rtrend COVID
New Hampshire,NH,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,14,32,49,73,143,14,32,49,73,143,CEPH Lab at Indiana University,Rtrend COVID
New Jersey,NJ,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,152,237,304,382,574,152,237,304,382,574,CEPH Lab at Indiana University,Rtrend COVID
New Jersey,NJ,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,137,260,367,506,868,137,260,367,506,868,CEPH Lab at Indiana University,Rtrend COVID
New Jersey,NJ,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,123,274,420,615,1134,123,274,420,615,1134,CEPH Lab at Indiana University,Rtrend COVID
New Jersey,NJ,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,107,280,451,685,1264,107,280,451,685,1264,CEPH Lab at Indiana University,Rtrend COVID
New Mexico,NM,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,47,65,77,91,121,47,65,77,91,121,CEPH Lab at Indiana University,Rtrend COVID
New Mexico,NM,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,43,67,86,109,163,43,67,86,109,163,CEPH Lab at Indiana University,Rtrend COVID
New Mexico,NM,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,39,68,93,124,202,39,68,93,124,202,CEPH Lab at Indiana University,Rtrend COVID
New Mexico,NM,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,34,67,96,134,228,34,67,96,134,228,CEPH Lab at Indiana University,Rtrend COVID
New York,NY,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,297,420,509,613,842,297,420,509,613,842,CEPH Lab at Indiana University,Rtrend COVID
New York,NY,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,268,444,584,758,1185,268,444,584,758,1185,CEPH Lab at Indiana University,Rtrend COVID
New York,NY,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,242,461,650,904,1572,242,461,650,904,1572,CEPH Lab at Indiana University,Rtrend COVID
New York,NY,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,215,466,702,1030,1914,215,466,702,1030,1914,CEPH Lab at Indiana University,Rtrend COVID
North Carolina,NC,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,89,144,185,236,361,89,144,185,236,361,CEPH Lab at Indiana University,Rtrend COVID
North Carolina,NC,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,69,136,196,280,516,69,136,196,280,516,CEPH Lab at Indiana University,Rtrend COVID
North Carolina,NC,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,53,129,207,329,714,53,129,207,329,714,CEPH Lab at Indiana University,Rtrend COVID
North Carolina,NC,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,40,121,216,380,968,40,121,216,380,968,CEPH Lab at Indiana University,Rtrend COVID
North Dakota,ND,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,3,7,10,15,28,3,7,10,15,28,CEPH Lab at Indiana University,Rtrend COVID
North Dakota,ND,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,2,6,10,17,42,2,6,10,17,42,CEPH Lab at Indiana University,Rtrend COVID
North Dakota,ND,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,1,4,9,19,58,1,4,9,19,58,CEPH Lab at Indiana University,Rtrend COVID
North Dakota,ND,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,1,4,9,20,73,1,4,9,20,73,CEPH Lab at Indiana University,Rtrend COVID
Ohio,OH,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,245,339,407,485,656,245,339,407,485,656,CEPH Lab at Indiana University,Rtrend COVID
Ohio,OH,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,217,349,450,579,886,217,349,450,579,886,CEPH Lab at Indiana University,Rtrend COVID
Ohio,OH,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,192,351,486,664,1117,192,351,486,664,1117,CEPH Lab at Indiana University,Rtrend COVID
Ohio,OH,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,165,345,510,733,1327,165,345,510,733,1327,CEPH Lab at Indiana University,Rtrend COVID
Oklahoma,OK,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,30,48,61,77,114,30,48,61,77,114,CEPH Lab at Indiana University,Rtrend COVID
Oklahoma,OK,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,26,48,68,94,163,26,48,68,94,163,CEPH Lab at Indiana University,Rtrend COVID
Oklahoma,OK,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,21,47,73,110,212,21,47,73,110,212,CEPH Lab at Indiana University,Rtrend COVID
Oklahoma,OK,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,17,46,76,122,250,17,46,76,122,250,CEPH Lab at Indiana University,Rtrend COVID
Oregon,OR,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,29,47,61,78,121,29,47,61,78,121,CEPH Lab at Indiana University,Rtrend COVID
Oregon,OR,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,21,43,63,92,171,21,43,63,92,171,CEPH Lab at Indiana University,Rtrend COVID
Oregon,OR,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,16,40,65,105,233,16,40,65,105,233,CEPH Lab at Indiana University,Rtrend COVID
Oregon,OR,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,12,37,67,119,307,12,37,67,119,307,CEPH Lab at Indiana University,Rtrend COVID
Pennsylvania,PA,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,666,938,1132,1356,1835,666,938,1132,1356,1835,CEPH Lab at Indiana University,Rtrend COVID
Pennsylvania,PA,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,634,1010,1293,1638,2405,634,1010,1293,1638,2405,CEPH Lab at Indiana University,Rtrend COVID
Pennsylvania,PA,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,568,1005,1345,1752,2620,568,1005,1345,1752,2620,CEPH Lab at Indiana University,Rtrend COVID
Pennsylvania,PA,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,493,933,1270,1651,2385,493,933,1270,1651,2385,CEPH Lab at Indiana University,Rtrend COVID
Rhode Island,RI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,14,22,29,37,58,14,22,29,37,58,CEPH Lab at Indiana University,Rtrend COVID
Rhode Island,RI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,11,23,33,47,89,11,23,33,47,89,CEPH Lab at Indiana University,Rtrend COVID
Rhode Island,RI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,9,23,37,59,129,9,23,37,59,129,CEPH Lab at Indiana University,Rtrend COVID
Rhode Island,RI,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,7,23,41,71,177,7,23,41,71,177,CEPH Lab at Indiana University,Rtrend COVID
South Carolina,SC,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,39,61,78,99,149,39,61,78,99,149,CEPH Lab at Indiana University,Rtrend COVID
South Carolina,SC,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,29,57,80,113,200,29,57,80,113,200,CEPH Lab at Indiana University,Rtrend COVID
South Carolina,SC,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,22,52,82,125,258,22,52,82,125,258,CEPH Lab at Indiana University,Rtrend COVID
South Carolina,SC,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,16,47,81,137,314,16,47,81,137,314,CEPH Lab at Indiana University,Rtrend COVID
South Dakota,SD,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,20,27,32,38,51,20,27,32,38,51,CEPH Lab at Indiana University,Rtrend COVID
South Dakota,SD,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,19,30,39,49,73,19,30,39,49,73,CEPH Lab at Indiana University,Rtrend COVID
South Dakota,SD,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,19,33,44,59,96,19,33,44,59,96,CEPH Lab at Indiana University,Rtrend COVID
