location_name,abbreviation,horizon,forecast_date,target_end_date,model_id,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded
Alabama,AL,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,74,97,113,131,170,74,97,113,131,170
Alabama,AL,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,70,105,130,161,231,70,105,130,161,231
Alabama,AL,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,67,111,146,192,302,67,111,146,192,302
Alabama,AL,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,62,115,161,221,376,62,115,161,221,376
Connecticut,CT,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,41,71,94,123,197,41,71,94,123,197
Connecticut,CT,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,28,63,94,139,272,28,63,94,139,272
Connecticut,CT,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,20,55,93,155,367,20,55,93,155,367
Connecticut,CT,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,13,48,92,171,478,13,48,92,171,478
Hawaii,HI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,11,16,20,26,38,11,16,20,26,38
Hawaii,HI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,9,17,24,33,59,9,17,24,33,59
Hawaii,HI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,8,18,28,42,85,8,18,28,42,85
Hawaii,HI,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,7,19,31,51,114,7,19,31,51,114
Idaho,ID,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,9,16,22,29,46,9,16,22,29,46
Idaho,ID,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,6,14,22,33,66,6,14,22,33,66
Idaho,ID,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,4,13,22,38,88,4,13,22,38,88
Idaho,ID,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,3,11,22,41,111,3,11,22,41,111
New Mexico,NM,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,47,65,77,91,121,47,65,77,91,121
New Mexico,NM,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,43,67,86,109,163,43,67,86,109,163
New Mexico,NM,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,39,68,93,124,202,39,68,93,124,202
New Mexico,NM,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,34,67,96,134,228,34,67,96,134,228
North Dakota,ND,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,3,7,10,15,28,3,7,10,15,28
North Dakota,ND,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,2,6,10,17,42,2,6,10,17,42
North Dakota,ND,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,1,4,9,19,58,1,4,9,19,58
North Dakota,ND,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,1,4,9,20,73,1,4,9,20,73
Oregon,OR,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,29,47,61,78,121,29,47,61,78,121
Oregon,OR,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,21,43,63,92,171,21,43,63,92,171
Oregon,OR,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,16,40,65,105,233,16,40,65,105,233
Oregon,OR,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,12,37,67,119,307,12,37,67,119,307
Rhode Island,RI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,14,22,29,37,58,14,22,29,37,58
Rhode Island,RI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,11,23,33,47,89,11,23,33,47,89
Rhode Island,RI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,9,23,37,59,129,9,23,37,59,129
Rhode Island,RI,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,7,23,41,71,177,7,23,41,71,177
South Carolina,SC,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,39,61,78,99,149,39,61,78,99,149
South Carolina,SC,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,29,57,80,113,200,29,57,80,113,200
South Carolina,SC,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,22,52,82,125,258,22,52,82,125,258
South Carolina,SC,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,16,47,81,137,314,16,47,81,137,314
South Dakota,SD,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,20,27,32,38,51,20,27,32,38,51
South Dakota,SD,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,19,30,39,49,73,19,30,39,49,73
South Dakota,SD,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,19,33,44,59,96,19,33,44,59,96
South Dakota,SD,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,17,34,48,67,113,17,34,48,67,113
Tennessee,TN,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,56,89,114,144,218,56,89,114,144,218
Tennessee,TN,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,42,83,117,164,293,42,83,117,164,293
Tennessee,TN,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,32,75,119,181,367,32,75,119,181,367
Tennessee,TN,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,24,68,117,194,428,24,68,117,194,428
Vermont,VT,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,6,11,16,22,41,6,11,16,22,41
Vermont,VT,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,3,10,16,26,58,3,10,16,26,58
Vermont,VT,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,2,8,15,29,75,2,8,15,29,75
Vermont,VT,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,1,7,15,31,87,1,7,15,31,87
West Virginia,WV,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,47,60,69,79,99,47,60,69,79,99
West Virginia,WV,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,44,63,77,93,128,44,63,77,93,128
West Virginia,WV,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,41,65,83,106,159,41,65,83,106,159
West Virginia,WV,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,38,65,88,117,187,38,65,88,117,187
Alabama,AL,-1,2024-11-23,2024-11-16,CMU-TimeSeries,21.89408729112919,153.16174525976635,194.9054271684633,230.28519819379207,382.21648551931776,22,153,195,230,382
Alabama,AL,0,2024-11-23,2024-11-23,CMU-TimeSeries,27.323751904910612,158.02565568181433,204.9735718759406,277.69794967378635,476.2533355582228,27,158,205,278,476
Alabama,AL,1,2024-11-23,2024-11-30,CMU-TimeSeries,33.708415542556224,170.95428124331033,222.04381495107242,336.4619103374957,561.576249845752,34,171,222,336,562
Alabama,AL,2,2024-11-23,2024-12-07,CMU-TimeSeries,18.652322989454085,177.11403724199545,263.39949572750936,380.1119988853759,658.7777900983771,19,177,263,380,659
Alabama,AL,3,2024-11-23,2024-12-14,CMU-TimeSeries,13.38337410539687,151.84791130582866,296.1609314862268,402.48517208553193,663.4631550159468,13,152,296,402,663
Connecticut,CT,-1,2024-11-23,2024-11-16,CMU-TimeSeries,29.167366279902616,126.29276408825866,214.1921853574527,275.7869667437071,389.25050120392336,29,126,214,276,389
Connecticut,CT,0,2024-11-23,2024-11-23,CMU-TimeSeries,29.167366279902616,119.70434301661629,215.9190843172954,275.95768827775913,443.25764011704064,29,120,216,276,443
Connecticut,CT,1,2024-11-23,2024-11-30,CMU-TimeSeries,29.167366279902616,123.31474989029732,221.86519305753723,280.3357287231409,473.69947311554705,29,123,222,280,474
Connecticut,CT,2,2024-11-23,2024-12-07,CMU-TimeSeries,29.167366279902616,143.7082996391589,237.44558745675508,322.88912704276885,556.5970278245289,29,144,237,323,557
Connecticut,CT,3,2024-11-23,2024-12-14,CMU-TimeSeries,29.054097345133744,111.55203050780207,234.09350835954186,326.2462778299255,557.8296869978271,29,112,234,326,558
Hawaii,HI,-1,2024-11-23,2024-11-16,CMU-TimeSeries,2.3939810195388933,43.459227481357395,63.76390030109329,78.73670835705246,107.83367686851241,2,43,64,79,108
Hawaii,HI,0,2024-11-23,2024-11-23,CMU-TimeSeries,2.6261060955349063,44.50732976945483,64.25976189966201,81.6373165419783,118.41515429724784,3,45,64,82,118
Hawaii,HI,1,2024-11-23,2024-11-30,CMU-TimeSeries,3.9052752025410467,45.79547634201503,65.2958790142152,85.53190201341508,130.96801045374173,4,46,65,86,131
Hawaii,HI,2,2024-11-23,2024-12-07,CMU-TimeSeries,5.198052491536616,47.14318233982519,66.4870844427366,89.25729106877867,138.32984663057044,5,47,66,89,138
Hawaii,HI,3,2024-11-23,2024-12-14,CMU-TimeSeries,2.348268441648047,36.5447751360153,68.74928462668825,93.19072575077323,142.87938028040512,2,37,69,93,143
Idaho,ID,-1,2024-11-23,2024-11-16,CMU-TimeSeries,11.49919481221615,57.95642655507436,73.2669599594457,103.90216552459185,152.59683321390452,11,58,73,104,153
Idaho,ID,0,2024-11-23,2024-11-23,CMU-TimeSeries,9.131371146055848,58.6992164662358,80.74470793291408,115.08540142945797,167.77081562666723,9,59,81,115,168
