target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-04-18,3.2082665,0.3,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,3.2345982,0.3,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,3.0579574,0.3,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,3.1039854,0.3,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,3.1002376,0.3,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,3.4415753,0.35,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,3.5417256,0.35,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,3.3845598,0.35,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,3.4421297,0.35,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,3.4535147,0.35,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,3.6431176,0.4,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,3.8141775,0.4,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,3.7029831,0.4,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,3.7743771,0.4,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,3.8339062,0.4,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,3.9167904,0.45,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,4.1172091,0.45,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,4.0464935,0.45,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,4.1655067,0.45,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,4.2510017,0.45,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,4.2197983,0.5,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,4.4458944,0.5,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,4.362534,0.5,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,4.5353659,0.5,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,4.6760278,0.5,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,4.4946403,0.55,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,4.8424248,0.55,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,4.7193243,0.55,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,4.9738605,0.55,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,5.0413778,0.55,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,4.8375231,0.6,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,5.2094687,0.6,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,5.0760977,0.6,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,5.3963058,0.6,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,5.4863486,0.6,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,5.1419871,0.65,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,5.596211,0.65,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,5.4956216,0.65,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,5.8131278,0.65,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,5.9683024,0.65,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,5.4522115,0.7,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,5.9532127,0.7,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,5.9885702,0.7,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,6.2634136,0.7,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,6.587706,0.7,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,5.8339293,0.75,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,6.3969549,0.75,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,6.5478055,0.75,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,6.9225904,0.75,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,7.3046258,0.75,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,6.2941451,0.8,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,7.0052777,0.8,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,7.2261356,0.8,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,7.6970971,0.8,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,8.0915111,0.8,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,6.9321965,0.85,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,7.5980058,0.85,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,8.031951,0.85,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,8.7898118,0.85,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,9.3504177,0.85,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,7.7192918,0.9,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,8.5896413,0.9,0,quantile,2026-04-25,02,wk inc covid hosp
