state,date,value,location
DC,2024-12-28,24,11
DC,2025-01-04,25,11
DC,2025-01-11,24,11
DC,2025-01-18,22,11
DC,2025-01-25,29,11
DC,2025-02-01,30,11
DC,2025-02-08,26,11
DC,2025-02-15,13,11
DC,2025-02-22,22,11
DC,2025-03-01,25,11
DC,2025-03-08,17,11
DC,2025-03-15,21,11
DC,2025-03-22,19,11
DC,2025-03-29,22,11
DC,2025-04-05,18,11
DC,2025-04-12,18,11
DC,2025-04-19,8,11
DC,2025-04-26,7,11
DC,2025-05-03,8,11
DC,2025-05-10,11,11
DE,2024-11-09,20,10
DE,2024-11-16,18,10
DE,2024-11-23,20,10
DE,2024-11-30,26,10
DE,2024-12-07,24,10
DE,2024-12-14,25,10
DE,2024-12-21,42,10
DE,2024-12-28,48,10
DE,2025-01-04,80,10
DE,2025-01-11,41,10
DE,2025-01-18,42,10
DE,2025-01-25,21,10
DE,2025-02-01,32,10
DE,2025-02-08,31,10
DE,2025-02-15,28,10
DE,2025-02-22,23,10
DE,2025-03-01,23,10
DE,2025-03-08,35,10
DE,2025-03-15,41,10
DE,2025-03-22,25,10
DE,2025-03-29,17,10
DE,2025-04-05,22,10
DE,2025-04-12,18,10
DE,2025-04-19,14,10
DE,2025-04-26,13,10
DE,2025-05-03,8,10
DE,2025-05-10,7,10
FL,2024-11-09,421,12
FL,2024-11-16,334,12
FL,2024-11-23,257,12
FL,2024-11-30,320,12
FL,2024-12-07,299,12
FL,2024-12-14,332,12
FL,2024-12-21,398,12
FL,2024-12-28,432,12
FL,2025-01-04,644,12
FL,2025-01-11,571,12
FL,2025-01-18,544,12
FL,2025-01-25,616,12
FL,2025-02-01,613,12
FL,2025-02-08,609,12
FL,2025-02-15,494,12
FL,2025-02-22,460,12
FL,2025-03-01,447,12
FL,2025-03-08,380,12
FL,2025-03-15,442,12
FL,2025-03-22,395,12
FL,2025-03-29,399,12
FL,2025-04-05,365,12
FL,2025-04-12,305,12
FL,2025-04-19,317,12
FL,2025-04-26,310,12
FL,2025-05-03,308,12
FL,2025-05-10,301,12
GA,2024-11-09,89,13
GA,2024-11-16,80,13
GA,2024-11-23,76,13
GA,2024-11-30,84,13
GA,2024-12-07,114,13
GA,2024-12-14,159,13
GA,2024-12-21,171,13
GA,2024-12-28,232,13
GA,2025-01-04,302,13
GA,2025-01-11,251,13
GA,2025-01-18,257,13
GA,2025-01-25,211,13
GA,2025-02-01,288,13
GA,2025-02-08,312,13
GA,2025-02-15,262,13
GA,2025-02-22,247,13
GA,2025-03-01,263,13
GA,2025-03-08,279,13
GA,2025-03-15,306,13
GA,2025-03-22,279,13
GA,2025-03-29,233,13
GA,2025-04-05,199,13
GA,2025-04-12,168,13
GA,2025-04-19,149,13
GA,2025-04-26,160,13
GA,2025-05-03,102,13
GA,2025-05-10,101,13
HI,2024-11-09,22,15
HI,2024-11-16,20,15
HI,2024-11-23,13,15
HI,2024-11-30,10,15
HI,2024-12-07,15,15
HI,2024-12-14,13,15
HI,2024-12-21,13,15
HI,2024-12-28,9,15
HI,2025-01-04,23,15
HI,2025-01-11,27,15
HI,2025-01-18,18,15
HI,2025-01-25,12,15
HI,2025-02-01,10,15
HI,2025-02-08,13,15
HI,2025-02-15,10,15
HI,2025-02-22,16,15
HI,2025-03-01,18,15
HI,2025-03-08,15,15
HI,2025-03-15,8,15
HI,2025-03-22,17,15
HI,2025-03-29,13,15
HI,2025-04-05,14,15
HI,2025-04-12,12,15
HI,2025-04-19,18,15
HI,2025-04-26,21,15
HI,2025-05-03,19,15
HI,2025-05-10,26,15
IA,2024-11-09,50,19
IA,2024-11-16,43,19
IA,2024-11-23,55,19
IA,2024-11-30,54,19
IA,2024-12-07,87,19
IA,2024-12-14,84,19
IA,2024-12-21,87,19
IA,2024-12-28,127,19
IA,2025-01-04,175,19
IA,2025-01-11,163,19
IA,2025-01-18,147,19
IA,2025-01-25,163,19
IA,2025-02-01,131,19
IA,2025-02-08,121,19
IA,2025-02-15,116,19
IA,2025-02-22,88,19
IA,2025-03-01,74,19
IA,2025-03-08,74,19
IA,2025-03-15,51,19
IA,2025-03-22,47,19
IA,2025-03-29,54,19
IA,2025-04-05,42,19
IA,2025-04-12,23,19
IA,2025-04-19,34,19
IA,2025-04-26,46,19
IA,2025-05-03,37,19
IA,2025-05-10,36,19
ID,2024-11-09,35,16
ID,2024-11-16,22,16
ID,2024-11-23,22,16
ID,2024-11-30,23,16
ID,2024-12-07,34,16
ID,2024-12-14,46,16
ID,2024-12-21,36,16
ID,2024-12-28,56,16
ID,2025-01-04,58,16
ID,2025-01-11,47,16
ID,2025-01-18,33,16
ID,2025-01-25,26,16
ID,2025-02-01,25,16
ID,2025-02-08,32,16
ID,2025-02-15,37,16
ID,2025-02-22,26,16
ID,2025-03-01,30,16
ID,2025-03-08,39,16
ID,2025-03-15,28,16
ID,2025-03-22,27,16
ID,2025-03-29,26,16
ID,2025-04-05,32,16
ID,2025-04-12,20,16
ID,2025-04-19,16,16
ID,2025-04-26,21,16
ID,2025-05-03,18,16
ID,2025-05-10,17,16
IL,2024-11-09,233,17
IL,2024-11-16,219,17
IL,2024-11-23,257,17
IL,2024-11-30,274,17
IL,2024-12-07,327,17
IL,2024-12-14,439,17
IL,2024-12-21,555,17
IL,2024-12-28,809,17
IL,2025-01-04,1102,17
IL,2025-01-11,809,17
IL,2025-01-18,715,17
IL,2025-01-25,624,17
IL,2025-02-01,603,17
IL,2025-02-08,626,17
IL,2025-02-15,540,17
IL,2025-02-22,526,17
IL,2025-03-01,488,17
IL,2025-03-08,452,17
IL,2025-03-15,461,17
IL,2025-03-22,361,17
IL,2025-03-29,323,17
IL,2025-04-05,282,17
IL,2025-04-12,249,17
IL,2025-04-19,201,17
IL,2025-04-26,204,17
IL,2025-05-03,145,17
IL,2025-05-10,110,17
IN,2024-11-09,185,18
IN,2024-11-16,145,18
IN,2024-11-23,166,18
IN,2024-11-30,156,18
IN,2024-12-07,257,18
IN,2024-12-14,314,18
IN,2024-12-21,400,18
IN,2024-12-28,549,18
IN,2025-01-04,673,18
IN,2025-01-11,536,18
IN,2025-01-18,420,18
IN,2025-01-25,335,18
IN,2025-02-01,361,18
IN,2025-02-08,371,18
IN,2025-02-15,362,18
IN,2025-02-22,350,18
IN,2025-03-01,275,18
IN,2025-03-08,236,18
IN,2025-03-15,240,18
IN,2025-03-22,207,18
IN,2025-03-29,171,18
IN,2025-04-05,143,18
IN,2025-04-12,101,18
IN,2025-04-19,84,18
IN,2025-04-26,79,18
IN,2025-05-03,84,18
IN,2025-05-10,49,18
KS,2024-11-09,62,20
KS,2024-11-16,48,20
KS,2024-11-23,59,20
KS,2024-11-30,50,20
KS,2024-12-07,94,20
KS,2024-12-14,93,20
KS,2024-12-21,135,20
KS,2024-12-28,200,20
KS,2025-01-04,233,20
KS,2025-01-11,160,20
KS,2025-01-18,122,20
KS,2025-01-25,121,20
KS,2025-02-01,98,20
KS,2025-02-08,108,20
KS,2025-02-15,112,20
KS,2025-02-22,103,20
KS,2025-03-01,110,20
KS,2025-03-08,105,20
KS,2025-03-15,77,20
KS,2025-03-22,62,20
KS,2025-03-29,42,20
KS,2025-04-05,42,20
KS,2025-04-12,37,20
KS,2025-04-19,25,20
KS,2025-04-26,24,20
KS,2025-05-03,21,20
KS,2025-05-10,21,20
KY,2024-11-09,131,21
KY,2024-11-16,107,21
KY,2024-11-23,107,21
KY,2024-11-30,96,21
KY,2024-12-07,137,21
KY,2024-12-14,165,21
KY,2024-12-21,228,21
KY,2024-12-28,317,21
KY,2025-01-04,449,21
KY,2025-01-11,280,21
KY,2025-01-18,231,21
KY,2025-01-25,204,21
KY,2025-02-01,207,21
KY,2025-02-08,249,21
KY,2025-02-15,231,21
KY,2025-02-22,207,21
KY,2025-03-01,229,21
KY,2025-03-08,195,21
KY,2025-03-15,181,21
KY,2025-03-22,135,21
KY,2025-03-29,125,21
KY,2025-04-05,107,21
KY,2025-04-12,91,21
KY,2025-04-19,68,21
KY,2025-04-26,67,21
KY,2025-05-03,48,21
KY,2025-05-10,26,21
LA,2024-11-09,78,22
LA,2024-11-16,67,22
LA,2024-11-23,68,22
LA,2024-11-30,65,22
LA,2024-12-07,80,22
LA,2024-12-14,104,22
LA,2024-12-21,112,22
LA,2024-12-28,141,22
LA,2025-01-04,194,22
LA,2025-01-11,163,22
LA,2025-01-18,138,22
LA,2025-01-25,135,22
LA,2025-02-01,164,22
LA,2025-02-08,181,22
LA,2025-02-15,170,22
LA,2025-02-22,147,22
LA,2025-03-01,177,22
LA,2025-03-08,152,22
LA,2025-03-15,189,22
LA,2025-03-22,171,22
LA,2025-03-29,123,22
LA,2025-04-05,120,22
LA,2025-04-12,95,22
LA,2025-04-19,83,22
LA,2025-04-26,79,22
LA,2025-05-03,80,22
LA,2025-05-10,59,22
MA,2024-11-09,234,25
MA,2024-11-16,296,25
MA,2024-11-23,368,25
MA,2024-11-30,368,25
MA,2024-12-07,448,25
MA,2024-12-14,425,25
MA,2024-12-21,385,25
MA,2024-12-28,375,25
MA,2025-01-04,596,25
MA,2025-01-11,628,25
MA,2025-01-18,439,25
MA,2025-01-25,422,25
MA,2025-02-01,352,25
MA,2025-02-08,285,25
MA,2025-02-15,295,25
MA,2025-02-22,240,25
MA,2025-03-01,254,25
MA,2025-03-08,220,25
MA,2025-03-15,148,25
MA,2025-03-22,161,25
MA,2025-03-29,170,25
MA,2025-04-05,131,25
MA,2025-04-12,128,25
MA,2025-04-19,145,25
MA,2025-04-26,140,25
MA,2025-05-03,125,25
MA,2025-05-10,79,25
MD,2024-11-09,99,24
MD,2024-11-16,69,24
MD,2024-11-23,87,24
MD,2024-11-30,77,24
MD,2024-12-07,86,24
MD,2024-12-14,88,24
MD,2024-12-21,112,24
MD,2024-12-28,144,24
MD,2025-01-04,319,24
MD,2025-01-11,216,24
MD,2025-01-18,196,24
MD,2025-01-25,207,24
MD,2025-02-01,190,24
MD,2025-02-08,197,24
MD,2025-02-15,220,24
MD,2025-02-22,187,24
MD,2025-03-01,159,24
MD,2025-03-08,136,24
MD,2025-03-15,139,24
MD,2025-03-22,148,24
MD,2025-03-29,142,24
MD,2025-04-05,117,24
MD,2025-04-12,101,24
MD,2025-04-19,83,24
MD,2025-04-26,70,24
MD,2025-05-03,49,24
MD,2025-05-10,40,24
ME,2024-11-09,36,23
ME,2024-11-16,25,23
ME,2024-11-23,21,23
ME,2024-11-30,25,23
ME,2024-12-07,20,23
ME,2024-12-14,33,23
ME,2024-12-21,28,23
ME,2024-12-28,50,23
ME,2025-01-04,93,23
ME,2025-01-11,99,23
ME,2025-01-18,88,23
ME,2025-01-25,55,23
ME,2025-02-01,46,23
ME,2025-02-08,41,23
ME,2025-02-15,26,23
ME,2025-02-22,20,23
ME,2025-03-01,9,23
ME,2025-03-08,17,23
ME,2025-03-15,17,23
ME,2025-03-22,7,23
ME,2025-03-29,3,23
ME,2025-04-05,4,23
ME,2025-04-12,6,23
ME,2025-04-19,5,23
ME,2025-04-26,8,23
ME,2025-05-03,5,23
ME,2025-05-10,11,23
MI,2024-11-09,611,26
MI,2024-11-16,628,26
MI,2024-11-23,460,26
MI,2024-11-30,595,26
MI,2024-12-07,588,26
MI,2024-12-14,688,26
MI,2024-12-21,547,26
MI,2024-12-28,735,26
MI,2025-01-04,907,26
MI,2025-01-11,988,26
MI,2025-01-18,628,26
MI,2025-01-25,551,26
MI,2025-02-01,577,26
MI,2025-02-08,498,26
MI,2025-02-15,456,26
MI,2025-02-22,435,26
MI,2025-03-01,381,26
MI,2025-03-08,305,26
MI,2025-03-15,223,26
MI,2025-03-22,332,26
MI,2025-03-29,375,26
MI,2025-04-05,251,26
MI,2025-04-12,254,26
MI,2025-04-19,319,26
MI,2025-04-26,203,26
MI,2025-05-03,239,26
MI,2025-05-10,185,26
MN,2024-11-09,117,27
MN,2024-11-16,102,27
MN,2024-11-23,142,27
MN,2024-11-30,134,27
MN,2024-12-07,192,27
MN,2024-12-14,225,27
MN,2024-12-21,259,27
MN,2024-12-28,355,27
MN,2025-01-04,508,27
MN,2025-01-11,371,27
MN,2025-01-18,326,27
MN,2025-01-25,274,27
MN,2025-02-01,217,27
MN,2025-02-08,181,27
MN,2025-02-15,149,27
MN,2025-02-22,128,27
MN,2025-03-01,116,27
MN,2025-03-08,112,27
MN,2025-03-15,113,27
MN,2025-03-22,76,27
MN,2025-03-29,79,27
MN,2025-04-05,79,27
MN,2025-04-12,99,27
MN,2025-04-19,87,27
MN,2025-04-26,66,27
MN,2025-05-03,52,27
MN,2025-05-10,64,27
MO,2024-11-09,153,29
MO,2024-11-16,150,29
MO,2024-11-23,175,29
MO,2024-11-30,166,29
MO,2024-12-07,193,29
MO,2024-12-14,247,29
MO,2024-12-21,259,29
MO,2024-12-28,397,29
MO,2025-01-04,483,29
MO,2025-01-11,388,29
MO,2025-01-18,286,29
MO,2025-01-25,278,29
MO,2025-02-01,278,29
MO,2025-02-08,323,29
MO,2025-02-15,306,29
MO,2025-02-22,267,29
MO,2025-03-01,190,29
MO,2025-03-08,204,29
MO,2025-03-15,188,29
MO,2025-03-22,186,29
MO,2025-03-29,133,29
MO,2025-04-05,117,29
MO,2025-04-12,89,29
MO,2025-04-19,92,29
MO,2025-04-26,67,29
MO,2025-05-03,39,29
MO,2025-05-10,30,29
MS,2024-11-09,38,28
MS,2024-11-16,37,28
MS,2024-11-23,50,28
MS,2024-11-30,33,28
MS,2024-12-07,54,28
MS,2024-12-14,67,28
MS,2024-12-21,49,28
MS,2024-12-28,70,28
MS,2025-01-04,133,28
MS,2025-01-11,84,28
MS,2025-01-18,104,28
MS,2025-01-25,109,28
MS,2025-02-01,117,28
MS,2025-02-08,136,28
MS,2025-02-15,74,28
MS,2025-02-22,82,28
MS,2025-03-01,81,28
MS,2025-03-08,102,28
MS,2025-03-15,136,28
MS,2025-03-22,105,28
MS,2025-03-29,74,28
MS,2025-04-05,71,28
MS,2025-04-12,46,28
MS,2025-04-19,52,28
MS,2025-04-26,34,28
MS,2025-05-03,25,28
MS,2025-05-10,29,28
MT,2024-11-09,16,30
MT,2024-11-16,15,30
MT,2024-11-23,23,30
MT,2024-11-30,12,30
MT,2024-12-07,37,30
MT,2024-12-14,26,30
MT,2024-12-21,19,30
MT,2024-12-28,35,30
MT,2025-01-04,37,30
MT,2025-01-11,33,30
MT,2025-01-18,35,30
MT,2025-01-25,19,30
MT,2025-02-01,8,30
MT,2025-02-08,25,30
MT,2025-02-15,18,30
MT,2025-02-22,24,30
MT,2025-03-01,18,30
MT,2025-03-08,19,30
MT,2025-03-15,24,30
MT,2025-03-22,19,30
MT,2025-03-29,12,30
MT,2025-04-05,13,30
MT,2025-04-12,14,30
MT,2025-04-19,7,30
MT,2025-04-26,7,30
MT,2025-05-03,7,30
MT,2025-05-10,6,30
NC,2024-11-09,201,37
NC,2024-11-16,188,37
NC,2024-11-23,162,37
NC,2024-11-30,149,37
NC,2024-12-07,181,37
NC,2024-12-14,232,37
NC,2024-12-21,257,37
NC,2024-12-28,364,37
NC,2025-01-04,492,37
NC,2025-01-11,404,37
NC,2025-01-18,425,37
NC,2025-01-25,420,37
NC,2025-02-01,410,37
NC,2025-02-08,458,37
NC,2025-02-15,381,37
NC,2025-02-22,359,37
NC,2025-03-01,372,37
NC,2025-03-08,381,37
NC,2025-03-15,385,37
NC,2025-03-22,376,37
NC,2025-03-29,291,37
NC,2025-04-05,344,37
NC,2025-04-12,214,37
NC,2025-04-19,219,37
NC,2025-04-26,179,37
NC,2025-05-03,158,37
NC,2025-05-10,116,37
ND,2024-11-09,15,38
ND,2024-11-16,11,38
ND,2024-11-23,19,38
ND,2024-11-30,24,38
ND,2024-12-07,17,38
ND,2024-12-14,17,38
ND,2024-12-21,25,38
ND,2024-12-28,30,38
ND,2025-01-04,38,38
ND,2025-01-11,40,38
ND,2025-01-18,26,38
ND,2025-01-25,24,38
ND,2025-02-01,22,38
ND,2025-02-08,39,38
ND,2025-02-15,32,38
ND,2025-02-22,33,38
ND,2025-03-01,27,38
ND,2025-03-08,27,38
ND,2025-03-15,31,38
ND,2025-03-22,20,38
ND,2025-03-29,13,38
ND,2025-04-05,17,38
ND,2025-04-12,5,38
ND,2025-04-19,7,38
ND,2025-04-26,12,38
ND,2025-05-03,7,38
ND,2025-05-10,9,38
NE,2024-11-09,32,31
NE,2024-11-16,39,31
NE,2024-11-23,36,31
NE,2024-11-30,42,31
NE,2024-12-07,78,31
NE,2024-12-14,66,31
NE,2024-12-21,69,31
NE,2024-12-28,98,31
NE,2025-01-04,109,31
NE,2025-01-11,104,31
NE,2025-01-18,78,31
NE,2025-01-25,79,31
NE,2025-02-01,75,31
NE,2025-02-08,71,31
NE,2025-02-15,77,31
NE,2025-02-22,60,31
NE,2025-03-01,42,31
NE,2025-03-08,53,31
NE,2025-03-15,38,31
NE,2025-03-22,23,31
NE,2025-03-29,36,31
NE,2025-04-05,24,31
NE,2025-04-12,27,31
NE,2025-04-19,22,31
NE,2025-04-26,23,31
NE,2025-05-03,10,31
NE,2025-05-10,19,31
NH,2024-11-09,35,33
NH,2024-11-16,33,33
NH,2024-11-23,20,33
NH,2024-11-30,44,33
NH,2024-12-07,67,33
NH,2024-12-14,68,33
NH,2024-12-21,56,33
NH,2024-12-28,89,33
NH,2025-01-04,143,33
NH,2025-01-11,86,33
NH,2025-01-18,76,33
NH,2025-01-25,70,33
NH,2025-02-01,75,33
NH,2025-02-08,66,33
NH,2025-02-15,43,33
NH,2025-02-22,49,33
NH,2025-03-01,41,33
NH,2025-03-08,36,33
NH,2025-03-15,26,33
NH,2025-03-22,28,33
NH,2025-03-29,22,33
NH,2025-04-05,14,33
NH,2025-04-12,21,33
NH,2025-04-19,19,33
NH,2025-04-26,15,33
NH,2025-05-03,16,33
NH,2025-05-10,7,33
NJ,2024-11-09,186,34
NJ,2024-11-16,193,34
NJ,2024-11-23,210,34
NJ,2024-11-30,187,34
NJ,2024-12-07,188,34
NJ,2024-12-14,241,34
NJ,2024-12-21,300,34
NJ,2024-12-28,425,34
NJ,2025-01-04,647,34
NJ,2025-01-11,477,34
NJ,2025-01-18,509,34
NJ,2025-01-25,459,34
NJ,2025-02-01,468,34
NJ,2025-02-08,444,34
NJ,2025-02-15,361,34
NJ,2025-02-22,347,34
NJ,2025-03-01,336,34
NJ,2025-03-08,316,34
NJ,2025-03-15,297,34
NJ,2025-03-22,310,34
NJ,2025-03-29,273,34
NJ,2025-04-05,267,34
NJ,2025-04-12,269,34
NJ,2025-04-19,270,34
NJ,2025-04-26,219,34
NJ,2025-05-03,196,34
NJ,2025-05-10,168,34
NM,2024-11-09,91,35
NM,2024-11-16,82,35
NM,2024-11-23,119,35
NM,2024-11-30,123,35
NM,2024-12-07,127,35
NM,2024-12-14,144,35
NM,2024-12-21,134,35
NM,2024-12-28,147,35
NM,2025-01-04,165,35
NM,2025-01-11,132,35
NM,2025-01-18,106,35
NM,2025-01-25,75,35
NM,2025-02-01,57,35
NM,2025-02-08,64,35
NM,2025-02-15,38,35
NM,2025-02-22,54,35
NM,2025-03-01,36,35
NM,2025-03-08,40,35
NM,2025-03-15,19,35
NM,2025-03-22,25,35
NM,2025-03-29,39,35
NM,2025-04-05,33,35
NM,2025-04-12,29,35
NM,2025-04-19,22,35
NM,2025-04-26,27,35
NM,2025-05-03,26,35
NM,2025-05-10,8,35
NV,2024-11-09,53,32
NV,2024-11-16,64,32
NV,2024-11-23,33,32
NV,2024-11-30,65,32
NV,2024-12-07,49,32
NV,2024-12-14,52,32
NV,2024-12-21,72,32
NV,2024-12-28,47,32
NV,2025-01-04,66,32
NV,2025-01-11,68,32
NV,2025-01-18,55,32
NV,2025-01-25,48,32
NV,2025-02-01,44,32
NV,2025-02-08,48,32
NV,2025-02-15,34,32
NV,2025-02-22,34,32
NV,2025-03-01,43,32
NV,2025-03-08,32,32
NV,2025-03-15,34,32
NV,2025-03-22,39,32
NV,2025-03-29,35,32
NV,2025-04-05,26,32
NV,2025-04-12,27,32
NV,2025-04-19,31,32
NV,2025-04-26,39,32
NV,2025-05-03,25,32
NV,2025-05-10,45,32
NY,2024-11-09,424,36
NY,2024-11-16,391,36
NY,2024-11-23,406,36
NY,2024-11-30,366,36
NY,2024-12-07,456,36
NY,2024-12-14,506,36
NY,2024-12-21,629,36
NY,2024-12-28,722,36
NY,2025-01-04,1074,36
NY,2025-01-11,934,36
NY,2025-01-18,875,36
NY,2025-01-25,806,36
NY,2025-02-01,799,36
NY,2025-02-08,814,36
NY,2025-02-15,830,36
NY,2025-02-22,710,36
NY,2025-03-01,772,36
NY,2025-03-08,746,36
NY,2025-03-15,725,36
NY,2025-03-22,782,36
NY,2025-03-29,830,36
NY,2025-04-05,727,36
NY,2025-04-12,717,36
NY,2025-04-19,707,36
NY,2025-04-26,690,36
NY,2025-05-03,589,36
NY,2025-05-10,412,36
OH,2024-11-09,400,39
OH,2024-11-16,339,39
OH,2024-11-23,324,39
OH,2024-11-30,334,39
OH,2024-12-07,385,39
OH,2024-12-14,530,39
OH,2024-12-21,696,39
OH,2024-12-28,868,39
OH,2025-01-04,1350,39
OH,2025-01-11,902,39
OH,2025-01-18,852,39
OH,2025-01-25,680,39
OH,2025-02-01,682,39
OH,2025-02-08,651,39
OH,2025-02-15,617,39
OH,2025-02-22,522,39
OH,2025-03-01,498,39
OH,2025-03-08,458,39
OH,2025-03-15,395,39
OH,2025-03-22,350,39
OH,2025-03-29,286,39
OH,2025-04-05,241,39
OH,2025-04-12,220,39
OH,2025-04-19,197,39
OH,2025-04-26,170,39
OH,2025-05-03,183,39
OH,2025-05-10,127,39
OK,2024-11-09,64,40
OK,2024-11-16,73,40
OK,2024-11-23,71,40
OK,2024-11-30,105,40
OK,2024-12-07,145,40
OK,2024-12-14,158,40
OK,2024-12-21,169,40
OK,2024-12-28,238,40
OK,2025-01-04,270,40
OK,2025-01-11,226,40
OK,2025-01-18,205,40
OK,2025-01-25,192,40
OK,2025-02-01,194,40
OK,2025-02-08,158,40
OK,2025-02-15,160,40
OK,2025-02-22,116,40
OK,2025-03-01,117,40
OK,2025-03-08,87,40
OK,2025-03-15,113,40
OK,2025-03-22,97,40
OK,2025-03-29,107,40
OK,2025-04-05,98,40
