location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
US,2026-08-29,1,2026-09-05,wk inc covid hosp,quantile,0.01,1000.411821654461
01,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,81.27124776604413
02,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,5.7074994157382175
04,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,151.55332884280818
05,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,619.3260503747231
06,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,424.63548730322833
08,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,173.79518851062898
09,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,78.88921785627221
10,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,27.1032826791757
11,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,531.7729278319906
12,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,505.9476450400951
13,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,180.254858072515
15,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,37.84605726892163
16,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,137.34460023921014
17,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,225.9359021347888
18,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,170.64451890032956
19,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,70.50281673169425
20,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,147.98097159625172
21,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,164.05770402765359
22,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,100.85536836212266
23,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,88.8016063791397
24,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,202.52634468167577
25,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,443.64319688502707
26,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,243.63420738789662
27,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,84.35115260127202
28,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,107.84010446395138
29,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,160.21525677958806
30,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,24.8573651794643
31,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,69.50600342480496
32,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,51.3836726375086
33,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,184.95028768388207
34,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,92.55089147879542
35,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,390.15245724822984
36,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,846.3826471744953
37,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,133.20093919981892
38,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,151.5401313568385
39,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,213.11867704825707
40,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,149.45497763803277
41,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,256.86666302064344
42,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,176.47095794153947
44,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,58.62689640045167
45,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,58.01288683636262
46,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,71.81075472784578
47,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,595.3508414274756
48,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,211.197411829446
49,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,22.281569554623495
50,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,38.86634541488678
51,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,309.3845657027927
53,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,74.88264376670237
54,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,171.78949009440075
55,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,109.62867443410889
56,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,7.88065190778578
72,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,2222.1796981351426
US,2026-08-29,2,2026-09-12,wk inc covid hosp,quantile,0.01,969.4279924065524
01,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,71.80725438725402
02,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,1.5778627492233734
04,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,142.51440647663276
05,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,557.7427617461361
06,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,400.04239625147494
08,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,152.2245678512806
09,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,67.25262673894319
10,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,23.879955404703463
11,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,410.23176517997973
12,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,481.81460424803146
13,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,164.4233460672871
15,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,30.219500352834245
16,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,123.9847795310369
17,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,213.25351617612404
18,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,164.52549999251016
19,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,59.759768477209654
20,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,128.31041485309237
21,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,160.81834924015595
22,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,88.77907519571518
23,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,71.36057091655505
24,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,182.96067009084467
25,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,418.0482192913907
26,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,223.3018682276557
27,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,77.17842219691421
28,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,87.85984777918246
29,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,147.04101179662698
30,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,17.614435979445545
31,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,59.94563681155912
32,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,46.69692756617452
33,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,163.63059098785462
34,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,88.06206697199525
35,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,358.80637988091416
36,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,808.8063856305354
37,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,122.63560670218885
38,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,125.08339941935323
39,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,205.37335783707076
40,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,136.64232396346438
41,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,234.01277128404257
42,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,159.07839682825306
44,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,44.24191728848864
45,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,51.56368053515241
46,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,55.92438430985995
47,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,542.4723782271832
48,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,184.24824270080768
49,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,18.91294467269199
50,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,21.496264472263064
51,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,276.02550502806673
53,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,67.94686129088488
54,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,153.56171951977367
55,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,101.8920629722849
56,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,1.0929704756521732
72,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,1394.3097594891099
US,2026-08-29,3,2026-09-19,wk inc covid hosp,quantile,0.01,926.6695767034875
01,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,94.23002795335978
02,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,43.691450882640325
04,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,173.39575653849735
05,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,800.1610068040475
06,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,460.52161709060243
08,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,182.8440807625009
09,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,97.59894895305248
10,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,35.49656345527158
11,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,853.3317771448766
12,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,794.4433570326939
13,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,194.5843401916282
15,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,58.877479226156545
16,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,188.06806971390955
17,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,241.7404735030375
18,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,186.6822701224924
19,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,86.55722030764679
20,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,174.54229709937755
21,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,199.09160196725912
22,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,127.22218721395649
23,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,127.11432577590091
24,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,231.3669576586678
25,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,452.3603683804125
26,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,295.63371483955234
27,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,93.15165869123723
28,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,166.2698944913101
29,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,157.41116786844495
30,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,46.75258321709532
31,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,93.14936305732279
32,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,63.49052896281723
33,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,258.96913752160015
34,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,122.42395644642913
35,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,538.7115390706304
36,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,829.6113628356364
37,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,149.6426449794269
38,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,268.7030857036311
39,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,224.6876625386729
40,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,174.96031601382154
41,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,307.47290486199876
42,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,200.9713392760185
44,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,101.5321173057523
45,2026-08-29,0,2026-08-29,wk inc covid hosp,quantile,0.025,68.78546534887178
