location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
12,0,0.05,37.276399232523744,2026-05-09,2026-05-09,quantile,wk inc covid hosp
13,0,0.05,14.294438393049731,2026-05-09,2026-05-09,quantile,wk inc covid hosp
15,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
16,0,0.05,2.1963783492764946,2026-05-09,2026-05-09,quantile,wk inc covid hosp
17,0,0.05,9.415066222156431,2026-05-09,2026-05-09,quantile,wk inc covid hosp
18,0,0.05,7.356277287703342,2026-05-09,2026-05-09,quantile,wk inc covid hosp
19,0,0.05,0.4644134269043467,2026-05-09,2026-05-09,quantile,wk inc covid hosp
20,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
21,0,0.05,7.68079299995803,2026-05-09,2026-05-09,quantile,wk inc covid hosp
22,0,0.05,11.726050887458713,2026-05-09,2026-05-09,quantile,wk inc covid hosp
23,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
24,0,0.05,6.619462670178863,2026-05-09,2026-05-09,quantile,wk inc covid hosp
25,0,0.05,12.876097059882174,2026-05-09,2026-05-09,quantile,wk inc covid hosp
26,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
27,0,0.05,12.084884342024402,2026-05-09,2026-05-09,quantile,wk inc covid hosp
28,0,0.05,1.7410099293598087,2026-05-09,2026-05-09,quantile,wk inc covid hosp
29,0,0.05,6.301476075128071,2026-05-09,2026-05-09,quantile,wk inc covid hosp
30,0,0.05,2.397693113755462,2026-05-09,2026-05-09,quantile,wk inc covid hosp
31,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
32,0,0.05,0.5266354653695436,2026-05-09,2026-05-09,quantile,wk inc covid hosp
33,0,0.05,2.191935663390442,2026-05-09,2026-05-09,quantile,wk inc covid hosp
34,0,0.05,33.43679507660102,2026-05-09,2026-05-09,quantile,wk inc covid hosp
35,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
36,0,0.05,93.12354680400047,2026-05-09,2026-05-09,quantile,wk inc covid hosp
37,0,0.05,45.40719679222009,2026-05-09,2026-05-09,quantile,wk inc covid hosp
38,0,0.05,0.6352134786624359,2026-05-09,2026-05-09,quantile,wk inc covid hosp
39,0,0.05,19.558638592124776,2026-05-09,2026-05-09,quantile,wk inc covid hosp
40,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
41,0,0.05,0.34279108633050126,2026-05-09,2026-05-09,quantile,wk inc covid hosp
42,0,0.05,55.86268481326473,2026-05-09,2026-05-09,quantile,wk inc covid hosp
44,0,0.05,0.2661233623968298,2026-05-09,2026-05-09,quantile,wk inc covid hosp
45,0,0.05,15.15171285398927,2026-05-09,2026-05-09,quantile,wk inc covid hosp
46,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
47,0,0.05,20.308919813108798,2026-05-09,2026-05-09,quantile,wk inc covid hosp
48,0,0.05,20.684141204122138,2026-05-09,2026-05-09,quantile,wk inc covid hosp
49,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
50,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
51,0,0.05,24.44046787422073,2026-05-09,2026-05-09,quantile,wk inc covid hosp
53,0,0.05,11.54388959003849,2026-05-09,2026-05-09,quantile,wk inc covid hosp
54,0,0.05,4.145049200544012,2026-05-09,2026-05-09,quantile,wk inc covid hosp
55,0,0.05,9.369496307950307,2026-05-09,2026-05-09,quantile,wk inc covid hosp
56,0,0.05,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
72,0,0.05,15.223143141351896,2026-05-09,2026-05-09,quantile,wk inc covid hosp
US,0,0.05,984.4801420817074,2026-05-09,2026-05-09,quantile,wk inc covid hosp
01,0,0.1,29.329278175228733,2026-05-09,2026-05-09,quantile,wk inc covid hosp
02,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
04,0,0.1,14.120949705024762,2026-05-09,2026-05-09,quantile,wk inc covid hosp
05,0,0.1,1.1584060865212944,2026-05-09,2026-05-09,quantile,wk inc covid hosp
06,0,0.1,115.91149415623183,2026-05-09,2026-05-09,quantile,wk inc covid hosp
08,0,0.1,8.480411642163022,2026-05-09,2026-05-09,quantile,wk inc covid hosp
09,0,0.1,3.0752384842967806,2026-05-09,2026-05-09,quantile,wk inc covid hosp
10,0,0.1,3.085968616870929,2026-05-09,2026-05-09,quantile,wk inc covid hosp
11,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
12,0,0.1,55.16297903698254,2026-05-09,2026-05-09,quantile,wk inc covid hosp
13,0,0.1,19.375531035222405,2026-05-09,2026-05-09,quantile,wk inc covid hosp
15,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
16,0,0.1,3.2441077116228505,2026-05-09,2026-05-09,quantile,wk inc covid hosp
17,0,0.1,14.008416045352908,2026-05-09,2026-05-09,quantile,wk inc covid hosp
18,0,0.1,10.929149074933619,2026-05-09,2026-05-09,quantile,wk inc covid hosp
19,0,0.1,2.0753770769748043,2026-05-09,2026-05-09,quantile,wk inc covid hosp
20,0,0.1,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
