target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-03-14,3.7052067,0.1,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,3.5491974,0.1,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,3.2232012,0.1,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,5.166857,0.15,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,4.7152802,0.15,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,4.4411871,0.15,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,4.2414415,0.15,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,3.9747984,0.15,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,5.627572,0.2,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,5.2203317,0.2,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,5.0853674,0.2,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,4.8700235,0.2,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,4.6765957,0.2,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,6.0434001,0.25,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,5.7715443,0.25,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,5.7308897,0.25,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,5.437841,0.25,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,5.2827387,0.25,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,6.5927627,0.3,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,6.3435334,0.3,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,6.2875211,0.3,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,5.9673665,0.3,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,5.9191728,0.3,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,7.0850602,0.35,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,6.8948136,0.35,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,6.7895805,0.35,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,6.5398292,0.35,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,6.5690651,0.35,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,7.5290842,0.4,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,7.4123376,0.4,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,7.3739431,0.4,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,7.2427152,0.4,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,7.1213406,0.4,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,7.9958643,0.45,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,7.9537852,0.45,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,7.9927957,0.45,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,7.9349973,0.45,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,7.862444,0.45,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,8.3702366,0.5,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,8.4228252,0.5,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,8.6151636,0.5,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,8.6000394,0.5,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,8.6504631,0.5,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,8.7695777,0.55,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,9.005673,0.55,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,9.3561969,0.55,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,9.2332836,0.55,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,9.3346044,0.55,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,9.2873581,0.6,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,9.5693253,0.6,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,9.9554624,0.6,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,9.9999354,0.6,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,10.169005,0.6,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,9.8933796,0.65,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,10.198862,0.65,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,10.605368,0.65,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,10.738479,0.65,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,10.867426,0.65,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,10.474023,0.7,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,10.882686,0.7,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,11.316836,0.7,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,11.593246,0.7,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,11.820116,0.7,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,11.224727,0.75,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,11.674608,0.75,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,12.301902,0.75,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,12.639058,0.75,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,12.888624,0.75,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,11.965936,0.8,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,12.64338,0.8,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,13.230126,0.8,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,13.560057,0.8,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,14.181152,0.8,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,12.881227,0.85,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,13.930473,0.85,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,14.664523,0.85,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,14.953621,0.85,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,15.882275,0.85,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,14.089256,0.9,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,15.348831,0.9,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,16.294532,0.9,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,16.941497,0.9,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,18.219727,0.9,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,16.083498,0.95,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,17.748905,0.95,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,19.077217,0.95,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,20.253705,0.95,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,21.801715,0.95,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,17.444847,0.975,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,19.982433,0.975,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,22.452283,0.975,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,23.818898,0.975,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,25.737852,0.975,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,20.244679,0.99,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,23.421067,0.99,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,26.049253,0.99,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,27.321021,0.99,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,30.551351,0.99,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,59.576716,0.01,-1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-07,55.094815,0.01,0,quantile,2026-03-07,04,wk inc covid hosp
2026-03-14,50.495798,0.01,1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-21,45.329632,0.01,2,quantile,2026-03-07,04,wk inc covid hosp
2026-03-28,41.829727,0.01,3,quantile,2026-03-07,04,wk inc covid hosp
2026-02-28,61.430673,0.025,-1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-07,58.80221,0.025,0,quantile,2026-03-07,04,wk inc covid hosp
2026-03-14,54.070471,0.025,1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-21,51.390975,0.025,2,quantile,2026-03-07,04,wk inc covid hosp
2026-03-28,47.563336,0.025,3,quantile,2026-03-07,04,wk inc covid hosp
2026-02-28,63.696183,0.05,-1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-07,61.97237,0.05,0,quantile,2026-03-07,04,wk inc covid hosp
2026-03-14,59.103187,0.05,1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-21,56.010816,0.05,2,quantile,2026-03-07,04,wk inc covid hosp
2026-03-28,54.310395,0.05,3,quantile,2026-03-07,04,wk inc covid hosp
2026-02-28,66.454554,0.1,-1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-07,65.946236,0.1,0,quantile,2026-03-07,04,wk inc covid hosp
2026-03-14,64.709068,0.1,1,quantile,2026-03-07,04,wk inc covid hosp
2026-03-21,61.984077,0.1,2,quantile,2026-03-07,04,wk inc covid hosp
2026-03-28,60.317312,0.1,3,quantile,2026-03-07,04,wk inc covid hosp
