location_name,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Alabama,1.3041562932443749,1.3041562932443749,1.3041562932443749,63.9451957469142,63.9451957469142,63.9451957469142,1.3,1.3,1.3,64,64,64,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.4418183240729607,1.4418183240729607,1.4418183240729607,70.6950197931968,70.6950197931968,70.6950197931968,1.44,1.44,1.44,71,71,71,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.4504086043832551,1.4504086043832551,1.4504086043832551,71.1162171288291,71.1162171288291,71.1162171288291,1.45,1.45,1.45,71,71,71,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.4865157834524132,1.4865157834524132,1.4865157834524132,72.8866189168712,72.8866189168712,72.8866189168712,1.49,1.49,1.49,73,73,73,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.4897841760134343,1.4897841760134343,1.4897841760134343,73.0468742506643,73.0468742506643,73.0468742506643,1.49,1.49,1.49,73,73,73,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.6353746409885552,1.6353746409885552,1.6353746409885552,80.1854440907547,80.1854440907547,80.1854440907547,1.64,1.64,1.64,80,80,80,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.651987432658568,1.651987432658568,1.651987432658568,81,81,81,1.65,1.65,1.65,81,81,81,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.7947517786907896,1.7947517786907896,1.7947517786907896,88,88,88,1.79,1.79,1.79,88,88,88,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.9375161247230117,1.9375161247230117,1.9375161247230117,95,95,95,1.94,1.94,1.94,95,95,95,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.100675377331265,2.100675377331265,2.100675377331265,103,103,103,2.1,2.1,2.1,103,103,103,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
